count_of_invoice,type_of_request,request_id,created_by,created_on,branch_name,supplier_code,name,country,currency,sub_request_type,amount,task_start,actioned_date,request_received_stage,request_received_date,completed_date,status_of_request,pending_reason,pending_with_approver/requestor,qc_status,audited_by,auditor_comments,ageing_sla_fpy,month,,,,,
1,AR REFUND,801158,Michael Wiggins,03-05-24,1619 - Stephaniemouth,sj81dP-716,Shah-Villegas,United States,USD,AR Refund Check,34,06-05-24,06-05-24,AP Processing,06-05-24,06-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,AR REFUND,170384,Pamela Burke,02-05-24,4418 - port jessicaview,Re74QD-375,Brown-Warren,United States,USD,AR Refund Check,9078,06-05-24,06-05-24,AP Processing,06-05-24,06-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Engie,531403,Jamie Love,07-05-24,4411 - WENDYTON,xh77cS-842,Horne Ltd,United States,USD,Engie Bills,12622,07-05-24,07-05-24,AP Processing,07-05-24,07-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Engie,334409,Jane May,07-05-24,1545 - Jorgestad,IE81JC-658,"Jimenez, Townsend and Mcintosh",United States,USD,Engie Bills,2408,07-05-24,07-05-24,AP Processing,07-05-24,07-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Check Request,984947,Savannah Stokes,07-05-24,5985 - West Sandramouth,qQ11FD-967,"Martin, Singh and Leach",Canada,CAD,Account on Hold - Invoice in J&E,37396,07-05-24,08-05-24,verification,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,466699,Brian Miller,07-05-24,9771 - washingtonview,QY53DN-162,Hicks-Khan,Canada,CAD,Account on Hold - Invoice in J&E,13340,07-05-24,08-05-24,verification,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,453232,Patrick Pineda,07-05-24,8955 - New Kristinton,NM70Ux-669,"Patterson, Powers and Fleming",Canada,CAD,Account on Hold - Invoice in J&E,10799,07-05-24,08-05-24,verification,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,130165,Audrey Richardson,07-05-24,8268 - Lake Phillipfort,pY51jJ-540,"Raymond, Fleming and Sanchez",Canada,CAD,Marketing (i.e. Taxes),3000,07-05-24,08-05-24,verification,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,237944,Tiffany Ray,07-05-24,3201 - Carolynbury,Dv92pY-624,Watkins-Morton,United States,USD,Legal Obligations (i.e. Taxes),8499,07-05-24,07-05-24,verification,07-05-24,13-05-24,COMPLETED,Need to provided the valid coding details working with Requestor for valid coding details - refered back to Originator- Coding details shared by requestor ,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Check Request,993934,Antonio Nichols,06-05-24,7749 - North Charlesview,kJ66Nt-680,"Wilson, Sanchez and Spencer",United States,USD,Utility,2011,07-05-24,08-05-24,verification,07-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,300128,Veronica Flores,06-05-24,5058 - West Morganstad,rx61eh-455,Macdonald and Sons,United States,USD,Utility,371738,07-05-24,08-05-24,verification,07-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,901228,Michael Hogan,06-05-24,7434 - South Crystaltown,Gn75KQ-595,Payne Ltd,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,22219,07-05-24,08-05-24,verification,08-05-24,08-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
9,Check Request,626916,Lindsay Walker,06-05-24,6395 - Port Jonathanview,bL82xO-157,"Dixon, Elliott and Ruiz",United States,USD,Account on Hold - Invoice NOT in J&E,7083,07-05-24,08-05-24,verification,07-05-24,08-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,705874,Joshua Murray,07-05-24,5759 - Howardhaven,wz64Cl-629,"Davis, Brown and Stewart",United States,USD,Union,1192096,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,716055,Tommy Hood,07-05-24,5571 - Adamton,rP30so-855,Wallace Inc,United States,USD,Union,24060,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,845668,Mr. Kyle Thomas DDS,07-05-24,5491 - North Pamelaton,Et64WY-493,"Briggs, Ballard and Mason",United States,USD,Union,304013,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,350555,Michele George,07-05-24,9115 - West Jenniferview,EV79TB-088,Reyes Inc,United States,USD,Union,216846,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,884929,William Martinez,07-05-24,6160 - Johnathanmouth,Lg88BL-384,Smith LLC,United States,USD,Union,5394,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,600500,Michelle Mendoza DVM,07-05-24,6361 - Riceborough,VS71jJ-576,Chen Group,United States,USD,Union,72379,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,167548,Michael Bennett DVM,07-05-24,8425 - Jessicaside,Wp94Tn-806,Graham PLC,United States,USD,Union,268713,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,514846,Ronald Clark,07-05-24,9834 - Bellstad,Tz51Yq-862,Young and Sons,United States,USD,Union,54881,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,850824,Rita Graves,07-05-24,1294 - Smithside,Kn77TB-880,"Andrade, Livingston and Smith",United States,USD,Union,41566,07-05-24,08-05-24,AP Processing,07-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,911332,Sean White,08-05-24,8356 - Port Julian,Dl76dO-617,Cameron and Sons,United States,USD,Union,1979,08-05-24,08-05-24,AP Processing,08-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Engie,359135,Mr. William Hopkins,08-05-24,5776 - Taylormouth,pM02ck-319,Bryant Ltd,United States,USD,Engie Bills,9209,08-05-24,08-05-24,Engie Portal,08-05-24,08-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Engie,132242,Wendy Kelley,08-05-24,2345 - Brownborough,ce00WB-145,Hardy Inc,United States,USD,Engie Bills,16718,08-05-24,08-05-24,Engie Portal,08-05-24,08-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Check Request,722896,Michael Mooney,08-05-24,1623 - Lake Thomasmouth,Zb24Nc-440,"Glover, Lopez and Rivas",United States,USD,Legal Obligations (i.e. Taxes),72,08-05-24,08-05-24,verification,08-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Check Request,418263,Jeanne Rose,08-05-24,2018 - North Vanessaville,Dk37tj-224,Carter-Hughes,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,15000,08-05-24,08-05-24,verification,08-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Check Request,815317,Michael Lee,08-05-24,7759 - Lake Patricia,LA43RQ-056,"Perkins, Christian and Stone",United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,200,08-05-24,09-05-24,verification,08-05-24,23-05-24,COMPLETED,supplier code restricted for the payment- Got processed 05/23/2024 ,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,379686,Jennifer Anderson,08-05-24,9361 - Gomezstad,jZ05md-808,Rocha LLC,United States,USD,Account on Hold - Invoice in J&E,32946,08-05-24,09-05-24,verification,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,512670,Lauren Trujillo,08-05-24,8020 - New Emilystad,lR06Gs-799,Ball-Evans,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,141964,08-05-24,08-05-24,verification,08-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Check Request,399710,Michelle Ellis,08-05-24,6777 - Carolynport,vy63ql-955,"Ballard, Ryan and Davis",United States,USD,Legal Obligations (i.e. Taxes),81082,08-05-24,09-05-24,verification,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,383133,Chad Dominguez,08-05-24,1510 - North Matthew,CZ26xM-081,"Le, Shaw and Schultz",United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,17500,08-05-24,08-05-24,verification,08-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Check Request,771981,Charles Robinson,07-05-24,4092 - South Mirandaland,aG70cr-119,Castro-Andersen,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,1050,08-05-24,09-05-24,verification,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,998623,Nancy Smith,07-05-24,8886 - Scottchester,wf79xH-490,"Mccann, Hodges and Murphy",United States,USD,Utility,25061,08-05-24,09-05-24,verification,08-05-24,09-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,851918,Laura Gregory,07-05-24,1430 - Timothyfort,xG48Se-882,Ashley Ltd,United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,2204,08-05-24,09-05-24,verification,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,678121,Brittany Clements MD,15-04-24,8518 - Humphreyville,uZ20WG-272,Howell-Crawford,Canada,CAD,Account on Hold - Invoice NOT in J&E,404,08-05-24,09-05-24,verification,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,818797,Tammy Davis,08-05-24,4308 - Lake Sydneybury,GK11vc-416,"Barajas, Holmes and Combs",United States,USD,Union,116,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,833047,Catherine Williams,08-05-24,8431 - Lake John,ol65Iv-731,Brewer-Douglas,United States,USD,Union,14882,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,289917,Miss Leslie Booker,08-05-24,5531 - Moraleston,Dq15Oi-529,Sanchez and Sons,United States,USD,Union,731160,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,343394,Jennifer Johnson,08-05-24,9123 - West Kyle,hP86Mc-677,"Armstrong, Wolfe and Burnett",United States,USD,Union,4406,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,881142,John Watts,08-05-24,9115 - Garciahaven,jJ23YS-368,"Greer, Kennedy and Aguirre",United States,USD,Union,11970,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,282617,Marissa Bennett,08-05-24,3122 - SAMANTHAVIEW,Db78FO-089,Jones Group,United States,USD,Union,23772,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,832570,Rebecca Barrett,08-05-24,3132 - Wheelerport,vi94Lf-720,"Bowers, Sanchez and Cooper",United States,USD,Union,431368,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,168245,Sharon Santos,08-05-24,2282 - Kathleenhaven,yo77Nj-508,Lewis LLC,United States,USD,Union,122523,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,305437,Matthew Richardson,08-05-24,7185 - West Felicia,qY77Um-698,Collier-Wade,United States,USD,Union,148997,08-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,469966,Bradley Burns,08-05-24,2551 - Lake Amyburgh,NQ11TI-240,Jennings Ltd,United States,USD,Account on Hold - Invoice in J&E,923,09-05-24,10-05-24,verification,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,119819,Katrina Johnson,08-05-24,4468 - Port Christopherbury,AH60MK-436,Walker-Moran,United States,USD,Union,72046,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,922087,Laura Hill,08-05-24,5447 - chenview,gH57xo-041,Mcintyre-Davis,United States,USD,Union,1799572,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,827959,Rebecca White,08-05-24,4502 - Katrinaburgh,ez56ql-423,Green Inc,United States,USD,Union,240,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Union,624317,Mr. Jeffrey Duncan,08-05-24,5520 - GOODMANMOUTH,zR19Vf-634,Wood-Perry,United States,USD,Union,19025,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,453156,Arthur Stout,08-05-24,5502 - Lake Micheleport,Hz08bC-759,Mcmillan-Weiss,United States,USD,Union,204408,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,555151,Cathy Hess,08-05-24,2143 - andrewtown,ks86cu-381,Dominguez Ltd,United States,USD,Union,566,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Union,147611,Justin Herrera,08-05-24,8046 - Patrickside,iS79WQ-268,"Carter, Hart and Marshall",United States,USD,Union,78976,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,281175,Katherine Stone,08-05-24,3541 - Pennybury,fz48dz-375,Grant-Anderson,United States,USD,Union,5003,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Check Request,337269,Michelle Tyler,29-04-24,9734 - Lake Kaitlyn,fL14Rw-035,Baker-Pruitt,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,2450,09-05-24,13-05-24,verification,10-05-24,13-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,662472,Paul Sheppard,08-05-24,1324 - Castrofort,Es73AY-009,Walker-Mendez,United States,USD,Union,8367,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,686976,Catherine George,08-05-24,6642 - South Ray,tI52mQ-483,"Heath, Howard and Wilson",United States,USD,Union,2901996,09-05-24,09-05-24,Unknown Stage,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,618879,Justin Mcbride,08-05-24,5643 - Barnesview,zt11uo-450,Mccoy-Christian,United States,USD,Union,139985,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,629150,Carl Harris,08-05-24,7374 - Schaefermouth,Lj34ra-956,Wagner Inc,United States,USD,Union,44015,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,827118,Justin York,08-05-24,8315 - WEST JOHNBERG,JB13Zq-859,Wilson and Sons,United States,USD,Union,161721,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,289764,William Hunter,09-05-24,2713 - Danielville,SG68VT-480,Owens-Watson,United States,USD,Union,1490,09-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,602963,Joshua Henderson,09-05-24,7061 - Martinezberg,tG52Es-282,Perkins Inc,United States,USD,Union,11136,09-05-24,09-05-24,AP Processing,08-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,549161,April Turner,09-05-24,4764 - Parkerchester,PN32GP-362,Davis Ltd,United States,USD,Payment Requested Outside of Supplier Type Terms - Invoice in J&E,897,09-05-24,10-05-24,verification,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,436337,Kelly Patton,09-05-24,5447 - Reynoldsfurt,Pv25fg-995,Black LLC,Canada,CAD,Donation / contribution,5000,09-05-24,10-05-24,verification,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,889596,Jill Ray,08-05-24,8203 - lake cherylshire,Wd40aW-684,Ballard and Sons,United States,USD,Legal Obligations (i.e. Taxes),49265,09-05-24,10-05-24,verification,09-05-24,10-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Check Request,884891,Kelly Andersen,07-05-24,8311 - New Jakestad,DS06gK-794,"Carter, Francis and Wright",United States,USD,Utility,72,09-05-24,10-05-24,verification,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Check Request,675784,Joshua Clark,07-05-24,9871 - South Mary,eW91gB-201,Hall-Daniel,United States,USD,Payment Requested Outside of Supplier Type Terms - NOT Invoice in J&E,150,09-05-24,10-05-24,verification,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,274441,Robert Young,09-05-24,6955 - west barbara,xV28zr-205,"Mullen, Ray and Bennett",Canada,CAD,Union,893171,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,372659,Elijah Wall,09-05-24,7561 - North Shane,LP19RR-903,Gilbert-Sanchez,United States,USD,Union,306662,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,518220,Lindsey Robinson,09-05-24,4468 - Brucetown,tN70jl-970,White-Bell,United States,USD,Union,205616,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,750351,Carl Dean,09-05-24,4196 - Robertmouth,Qk10gM-561,"Morgan, Miller and Oliver",United States,USD,Union,19759,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,304023,David James,09-05-24,9659 - Barbaratown,xq99FQ-752,Johnson-Lowe,Canada,CAD,Union,416841,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,694870,Jennifer Miller,09-05-24,8480 - Meganchester,xN07LZ-883,"Pierce, White and Mora",United States,USD,Union,139513,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,852915,Jeffery Neal,09-05-24,1224 - Port Patricia,gi44Sh-725,George Group,United States,USD,Union,17862,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24, COMPLETED ,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,505312,Andrea Oconnor,09-05-24,2619 - Washingtonport,Su20aL-865,"Miller, Alvarado and Osborne",United States,USD,Union,26255,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,383693,Melissa Lee MD,09-05-24,3636 - Kristenfort,Nt90na-701,"White, Adkins and Jennings",United States,USD,Union,21975,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,1.00,May-24,,,,,
1,Union,592511,Samantha Jacobs,08-05-24,3322 - Rangelville,zn58rq-471,Osborne-Henry,United States,USD,Union,1746,09-05-24,10-05-24,AP Processing,09-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,1.00,May-24,,,,,
1,Union,904946,Christian Riddle,08-05-24,4218 - Austinmouth,Zg15ZS-136,Cochran Inc,United States,USD,Union,131608,09-05-24,09-05-24,AP Processing,09-05-24,09-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,629412,Alexander Munoz,10-05-24,5982 - duffyton,bh24lE-036,Robinson PLC,United States,USD,Union,72877,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,369562,Caleb Rodriguez,09-05-24,3552 - West Wendy,gF82Bc-709,Barnes Group,United States,USD,Union,124233,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,608378,Andrea Bowman,09-05-24,3002 - Lake Christopherstad,pS24uX-026,Evans-Garcia,Canada,CAD,Union,293248,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,873814,Gavin Nelson,09-05-24,1613 - Jonathanport,Yx68vk-879,"Martinez, Nelson and Vega",Canada,CAD,Union,699668,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,346518,Courtney Smith,09-05-24,7842 - LAKE MARIAHSIDE,zi99YM-100,Davis-Wood,Canada,CAD,Union,4201,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Union,298671,Wayne Gray,09-05-24,5522 - STEPHENMOUTH,cI16mj-967,Mcdonald-Young,Canada,CAD,Union,1864416,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,430802,Timothy Thompson,09-05-24,3906 - West Pedro,wa38Jm-782,Jones Group,Canada,CAD,Union,917841,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,804578,Elizabeth Nicholson,09-05-24,1529 - SOUTH JONATHAN,ct40Cz-017,Fields LLC,Canada,CAD,Union,4911,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Union,546099,Joseph Graves PhD,09-05-24,9044 - sarahside,fy40dy-038,Miller PLC,Canada,CAD,Union,131119,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,Union,866000,Lisa Mosley,09-05-24,3470 - michaelmouth,lq03qm-261,Williams PLC,Canada,CAD,Union,147495,10-05-24,10-05-24,AP Processing,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
1,TRANS INTERNATIONAL,618494,Travis Price,10-05-24,9945 - MYERSCHESTER,AG37GZ-495,Patterson PLC,United States,USD,FRIGHT,6658,10-05-24,10-05-24,Trans International,10-05-24,03-10-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,TRANS INTERNATIONAL,682003,Patrick Faulkner,10-05-24,1178 - East Maria,oq96Ec-827,Calderon-Mckee,United States,USD,FRIGHT,6523,10-05-24,10-05-24,Trans International,10-05-24,03-10-24,COMPLETED,No Pending Reason,No Pending Party,Not audited,Not Applicable,No Comments,0.00,May-24,,,,,
1,Engie,498645,Linda Atkinson,10-05-24,4875 - Teresatown,vN72ML-462,Roberts Ltd,United States,USD,Engie Bills,12006,10-05-24,10-05-24,Engie Portal,10-05-24,10-05-24,COMPLETED,No Pending Reason,No Pending Party,Pass,Prashanth,Passed,0.00,May-24,,,,,
